Id,component number,modularity class,gender,age,horoscope,language (native),locale (current),education (attained),Degree,Weighted Degree,Eccentricity,closness centrality,harmonic closness centrality,betweenesscentrality,clustering,triangles,eigencentrality,"Cluster, Eigencentrality, Harmonic Closeness, Betweeness Score",Degree Score,Eccentricity Score,Total Centrality Score
12,0,9,0,1,2,3,3,3,9,9,11,0.171518,0.240924,0.000018,0.944444,34,0.12755,0.2441635,0.135,0.013636364,0.392799864
60,0,9,0,3,5,3,1,3,8,8,11,0.17134,0.237893,0,1,28,0.114628,0.25287815,0.12,0.013636364,0.386514514
159,0,9,0,1,1,4,3,3,8,8,11,0.17134,0.237893,0,1,28,0.114628,0.25287815,0.12,0.013636364,0.386514514
48,0,9,1,1,5,3,4,2,10,10,10,0.200243,0.282429,0.005954,0.711111,32,0.166651,0.210775,0.15,0.015,0.375775
74,0,9,1,1,4,1,3,2,8,8,10,0.195962,0.265863,0.002637,0.892857,25,0.121907,0.2372643,0.12,0.015,0.3722643
140,0,9,0,2,12,2,4,3,13,13,9,0.238439,0.339808,0.098228,0.269231,21,0.223194,0.1579421,0.195,0.016666667,0.369608767
63,0,9,1,0,5,1,3,2,7,7,11,0.171162,0.234863,0.000009,0.952381,20,0.103613,0.2412494,0.105,0.013636364,0.359885764
178,0,10,1,2,3,1,2,3,22,22,10,0.215969,0.349052,0.023626,0.562771,130,1,0.3196372,0.33,0.015,0.6646372
118,0,10,1,3,3,4,3,4,22,22,10,0.22449,0.359355,0.031846,0.549784,127,0.98248,0.31760125,0.33,0.015,0.66260125
122,0,10,1,1,5,4,4,3,21,21,10,0.222973,0.353295,0.019772,0.633333,133,0.992157,0.3324388,0.315,0.015,0.6624388
40,0,10,1,2,2,1,1,3,18,18,11,0.193208,0.312468,0.000452,0.803922,123,0.934181,0.34787215,0.27,0.013636364,0.631508514
19,0,10,0,1,2,3,4,4,21,21,10,0.219707,0.349052,0.029597,0.509524,107,0.910196,0.2967114,0.315,0.015,0.6267114
42,0,10,0,1,10,2,4,3,18,18,10,0.215405,0.329861,0.006573,0.751634,115,0.911714,0.33787765,0.27,0.015,0.62287765
45,0,10,1,1,9,1,2,3,17,17,11,0.192757,0.308427,0.001446,0.801471,109,0.881578,0.33908415,0.255,0.013636364,0.607720514
154,0,10,0,1,3,3,3,3,17,17,10,0.214008,0.325012,0.004642,0.772059,105,0.879731,0.33605165,0.255,0.015,0.60605165
83,0,10,1,0,5,3,1,3,16,16,11,0.192532,0.305397,0.000253,0.858333,103,0.857441,0.3461429,0.24,0.013636364,0.599779264
136,0,10,1,3,4,1,2,3,16,16,11,0.192532,0.305397,0.00025,0.858333,103,0.856072,0.34593695,0.24,0.013636364,0.599573314
32,0,10,0,0,2,1,2,3,19,19,10,0.22,0.344305,0.048563,0.51462,88,0.833738,0.28934305,0.285,0.015,0.58934305
99,0,10,1,1,8,1,1,3,16,16,10,0.212903,0.322487,0.003455,0.775,93,0.826428,0.32802825,0.24,0.015,0.58302825
126,0,10,1,1,2,3,2,3,15,15,11,0.191194,0.299538,0.0001,0.885714,93,0.807521,0.34322165,0.225,0.013636364,0.581858014
152,0,10,1,4,10,4,1,3,15,15,11,0.192308,0.302367,0.000556,0.819048,86,0.786908,0.32731205,0.225,0.013636364,0.565948414
171,0,10,0,4,5,4,1,3,14,14,11,0.192084,0.299336,0.000202,0.879121,80,0.764187,0.33539305,0.21,0.013636364,0.559029414
7,0,10,1,0,3,2,1,3,14,14,11,0.192308,0.300347,0.000208,0.879121,80,0.762619,0.3353107,0.21,0.013636364,0.558947064
89,0,10,1,3,12,2,4,3,13,13,11,0.191415,0.294791,0.000063,0.948718,74,0.723944,0.34256645,0.195,0.013636364,0.551202814
