Source,Target,Conversation Messages
76,122,276
71,6,39
159,124,234
37,118,89
119,61,29
107,116,527
178,83,45
67,65,709
77,80,9
178,171,508
174,25,104
173,61,279
61,168,163
21,79,27
140,86,182
166,64,185
152,154,401
58,108,29
4,165,83
0,168,13
101,131,117
110,4,597
172,75,126
6,54,78
31,93,196
156,105,76
104,68,124
40,154,68
38,4,119
8,35,1071
165,169,150
95,74,76
37,19,39
159,146,464
114,34,59
174,179,208
89,118,432
31,1,389
65,160,19
95,86,96
178,136,63
5,176,690
156,84,158
86,124,268
84,1,38
83,154,835
92,3,208
40,19,859
80,98,167
66,38,357
18,100,11
70,66,179
91,127,71
139,149,142
112,139,34
120,30,122
20,89,241.64999999999998
20,152,90.75
20,83,99.3
7,86,158.7
7,94,194.1
7,126,165.45
7,171,189.6
40,86,117.0
86,94,126.0
45,86,202.65
86,126,97.35
86,171,121.5
45,94,238.05
20,94,172.35
20,45,249.0
20,126,143.7
20,171,167.85
29,30,166.95
51,78,181.05
8,51,198.15
51,167,219.45
78,167,157.5
8,167,174.6
79,174,182.1
104,174,194.55
76,174,205.2
47,174,177.6
132,174,251.7
76,79,144.3
47,79,116.7
79,132,190.8
76,104,156.75
47,104,129.15
104,132,203.25
47,76,139.8
76,132,213.9
47,132,186.3
7,162,318.6
152,162,320.1
83,162,513.3
40,153,256.95
126,153,241.05
89,153,442.2
122,153,411.0
32,126,617.1
89,171,145.35
89,162,100.35
80,89,100.65
162,171,160.8
83,171,173.1
80,171,161.1
45,162,114.0
40,162,116.7
80,162,116.1
45,80,114.3
80,83,128.4
42,80,433.2
40,80,117.0
80,122,241.35000000000002
94,118,133.2
42,94,241.95
32,94,135.3
19,32,319.05
35,107,178.95
34,107,142.05
8,116,395.55
0,75,274.04999999999995
65,75,175.2
0,65,162.6
4,168,94.65
4,5,144.6
51,80,135.6
51,122,125.1
32,76,241.35
76,83,88.05
76,126,142.65
76,99,86.4
42,76,262.35
32,154,513.3
159,178,139.05
124,178,85.5
75,109,147.15
48,63,168.15
41,147,118.8
147,173,115.35
17,174,144.15
34,174,148.65
35,174,237.3
7,153,106.05
153,154,123.6
92,135,100.95
131,163,166.2
83,131,179.1
40,131,246.75
83,163,109.5
40,163,177.15
19,55,180.45
109,133,258.6
0,133,227.4
69,170,761.85
69,141,850.05
31,69,916.5
66,169,129.45
2,169,100.5
164,175,171.6
69,93,113.25
69,156,108.9
103,129,119.7
56,103,91.5
56,129,127.8
140,167,122.25
140,150,187.65
150,167,153.9
4,36,173.1
4,143,145.65
129,158,120.9
158,174,174.6
158,175,125.7
129,174,142.2
129,175,93.3
174,175,147.0
132,167,170.7
110,176,130.65
140,159,115.8
88,116,256.95
